GEOid,GEOid2,GEOdisplay_label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
1400000US36047016900,36047016900,"Census Tract 169, Kings County, New York",2144,122,87069,12434,86.4,5.1,91668,13549,28.8,6.7,9647,4325,19.1,5.7,11972,2423,2.5,2.2,10106,6322,0.4,0.7,2878,23,8.0,4.0,23012,8393,1122,177,99283,15291,6.8,6.2,N,N,38.1,12.4,N,N,39.1,10.2,N,N,9.9,7.5,N,N,4.9,4.8,N,N,1.2,1.8,N,N,4593,468,41218,6472,63.3,9.8,49823,7839,3.4,1.8,31289,10552,0.0,0.8,-,**,14.1,4.5,30427,12588,0.0,0.8,-,**,16.9,9.1,23928,11831,2.3,1.9,11907,10479,20.3,8.7,23454,10108,59.9,9.3,49998,8132,16.6,(X),(X),(X),15.4,(X),(X),(X),10.9,(X),(X),(X)
1400000US36047017000,36047017000,"Census Tract 170, Kings County, New York",1096,76,74784,8465,80.3,6.3,75457,9753,33.1,7.7,12387,4166,38.9,9.1,16865,2338,8.5,5.2,12153,5234,0.0,3.1,-,**,15.2,7.0,13843,6793,878,98,83896,10254,15.7,6.7,35341,13359,36.1,10.4,61026,11660,24.8,8.7,120207,26507,7.1,5.8,53050,15028,5.1,3.6,146758,56534,11.2,6.6,136122,23061,3286,360,25531,3163,67.9,8.2,28232,3609,0.0,1.1,-,**,0.0,1.1,-,**,32.1,8.2,19810,4032,0.0,1.1,-,**,0.0,1.1,-,**,0.0,1.1,-,**,9.4,7.2,23145,5351,58.5,9.1,29050,3925,33.0,(X),(X),(X),34.6,(X),(X),(X),28.1,(X),(X),(X)
1400000US36047017100,36047017100,"Census Tract 171, Kings County, New York",1612,85,112350,17488,87.6,4.6,109008,18138,40.2,7.7,19414,12668,25.6,6.0,15823,2262,4.0,3.6,7089,3424,1.4,1.7,2309,2359,16.0,5.7,25987,8776,1042,113,124545,18757,12.1,6.1,67385,29409,28.0,8.3,111468,40787,48.8,10.6,138302,21517,2.5,2.5,74827,43016,8.5,5.4,184217,52890,0.0,3.3,-,**,3941,318,46420,6626,85.7,5.0,47260,7560,2.3,1.8,45999,12259,0.9,1.4,N,N,7.2,3.5,60930,20673,0.0,0.9,-,**,0.3,0.4,N,N,3.7,2.8,N,N,6.7,4.9,46789,25190,80.0,6.3,47014,7619,21.8,(X),(X),(X),23.3,(X),(X),(X),15.4,(X),(X),(X)
1400000US36047017200,36047017200,"Census Tract 172, Kings County, New York",972,118,84528,35052,77.7,11.2,86393,43368,33.8,9.4,18447,16494,39.0,9.8,13674,2143,8.6,4.9,10385,4882,4.7,4.6,2917,2824,15.1,7.0,20395,10270,727,131,100348,46619,11.3,6.9,41062,18605,47.6,13.8,119388,98170,15.4,7.5,75886,20330,15.8,8.0,87836,39889,3.6,3.4,138765,43561,6.3,4.9,131937,22813,2891,493,28884,12363,60.7,12.3,39096,18925,1.9,2.0,21293,9509,0.0,1.2,-,**,34.5,11.5,13835,5836,0.0,1.2,-,**,0.0,1.2,-,**,3.0,4.0,-,**,8.5,6.4,19693,15951,53.3,12.2,41746,21035,29.3,(X),(X),(X),25.9,(X),(X),(X),23.0,(X),(X),(X)
1400000US36047017400,36047017400,"Census Tract 174, Kings County, New York",649,61,81253,17193,71.2,12.6,93160,20684,34.1,11.2,7252,2835,32.7,12.4,16717,3562,3.1,3.2,6600,2005,6.3,6.6,4015,2135,26.8,12.2,22537,10155,427,84,98760,24057,19.0,11.7,N,N,31.6,16.5,N,N,29.5,13.5,N,N,11.2,7.9,N,N,2.6,3.9,N,N,6.1,4.8,N,N,1694,302,31466,7762,73.7,13.1,35580,10175,0.0,2.0,-,**,0.0,2.0,-,**,26.1,13.0,19233,7409,0.0,2.0,-,**,0.2,1.2,N,N,0.0,2.0,-,**,17.8,16.0,14851,5842,55.9,16.7,42168,10408,19.3,(X),(X),(X),18.3,(X),(X),(X),12.5,(X),(X),(X)
1400000US36047017500,36047017500,"Census Tract 175, Kings County, New York",11,12,N,N,100.0,92.8,N,N,100.0,92.8,N,N,100.0,92.8,N,N,0.0,92.8,N,N,0.0,92.8,N,N,100.0,92.8,N,N,11,12,N,N,0.0,92.8,N,N,100.0,92.8,N,N,0.0,92.8,N,N,0.0,92.8,N,N,0.0,92.8,N,N,0.0,92.8,N,N,22,25,N,N,100.0,65.6,N,N,0.0,65.6,-,**,0.0,65.6,-,**,0.0,65.6,-,**,0.0,65.6,-,**,0.0,65.6,-,**,0.0,65.6,-,**,100.0,65.6,N,N,0.0,65.6,-,**,100.0,(X),(X),(X),100.0,(X),(X),(X),50.0,(X),(X),(X)
1400000US36047017600,36047017600,"Census Tract 176, Kings County, New York",742,84,52388,7668,56.7,8.9,65376,10735,26.8,10.7,5916,3890,38.9,9.6,17930,3073,7.5,5.8,8116,1222,3.0,3.6,1250,572,27.0,9.4,16649,6126,415,84,65061,9172,24.3,12.2,N,N,31.1,14.1,N,N,24.1,10.1,N,N,13.5,9.0,N,N,1.7,2.7,N,N,5.3,8.1,N,N,1765,294,22477,3246,76.1,11.0,22517,3814,0.0,2.0,-,**,0.0,2.0,-,**,23.4,10.9,21086,8956,0.0,2.0,-,**,0.5,0.8,N,N,0.0,2.0,-,**,17.4,12.8,18539,8159,59.2,13.0,24183,4056,23.9,(X),(X),(X),21.4,(X),(X),(X),21.2,(X),(X),(X)
1400000US36047017700,36047017700,"Census Tract 177, Kings County, New York",0,123,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,123,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,123,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
1400000US36047017800,36047017800,"Census Tract 178, Kings County, New York",769,82,67432,12259,73.7,9.6,76705,15214,35.5,14.4,8215,7515,25.1,8.8,18110,4612,5.2,4.6,11888,1649,3.0,3.5,1257,1083,10.1,6.9,19967,13850,589,102,74201,14118,19.2,11.4,N,N,25.1,11.9,N,N,35.3,14.4,N,N,8.5,7.2,N,N,10.2,10.1,N,N,1.7,2.6,N,N,2422,334,23356,4372,58.1,12.7,28299,6254,1.7,2.4,28810,15356,0.0,1.4,-,**,32.7,12.0,17755,5899,0.0,1.4,-,**,1.4,1.4,8118,7069,6.1,6.3,8261,13486,10.2,6.8,14959,6919,52.1,12.2,29700,6791,30.9,(X),(X),(X),30.1,(X),(X),(X),37.4,(X),(X),(X)
1400000US36047017900,36047017900,"Census Tract 179, Kings County, New York",1432,70,82004,13575,74.8,7.1,96367,14315,25.5,8.6,11584,6529,25.6,8.7,11651,1579,8.1,3.8,8850,2255,3.8,3.6,1105,765,12.1,6.4,21127,6663,730,149,86887,20452,9.5,6.3,N,N,35.8,16.0,N,N,15.5,7.6,N,N,29.6,14.0,N,N,4.5,6.2,N,N,5.2,6.3,N,N,3782,576,32685,4724,18.0,4.6,49478,8906,64.5,6.6,28537,6338,0.7,0.5,2926,2774,4.0,2.2,59629,24993,0.0,0.9,-,**,11.2,5.5,22457,6615,1.5,1.2,27511,23772,13.0,6.0,23891,6652,16.0,4.5,51759,10049,35.7,(X),(X),(X),38.5,(X),(X),(X),27.6,(X),(X),(X)
1400000US36047018000,36047018000,"Census Tract 180, Kings County, New York",978,95,46205,9013,66.5,9.7,51917,10372,21.2,7.7,8771,6075,33.9,8.6,12884,3103,8.1,5.0,7467,3663,10.8,6.9,4697,2097,19.9,7.5,15780,4813,645,110,46997,10871,22.8,11.0,28472,9295,37.4,13.3,41082,13936,13.5,9.8,39471,19658,5.9,5.3,53708,31234,9.9,9.5,65267,25628,10.5,8.3,96691,40540,2807,416,16414,2920,48.5,11.3,21265,4565,0.0,1.2,-,**,0.0,1.2,-,**,35.4,12.1,12020,3780,0.0,1.2,-,**,15.2,10.4,10021,2750,0.9,1.4,N,N,24.0,12.2,12362,3368,41.3,10.8,22338,5145,28.3,(X),(X),(X),29.3,(X),(X),(X),20.6,(X),(X),(X)
1400000US36047018100,36047018100,"Census Tract 181, Kings County, New York",2186,158,103977,15959,90.4,4.1,106979,15920,20.5,6.6,15585,8497,14.6,5.3,15385,3479,0.6,1.1,3293,14,2.2,2.6,8566,11471,6.8,4.1,18945,5913,811,167,148433,32636,7.0,7.3,N,N,21.3,8.8,N,N,59.7,12.3,N,N,1.6,2.8,N,N,1.7,2.7,N,N,8.6,8.1,N,N,4124,429,55698,8378,54.4,9.9,68645,13669,26.6,7.7,42600,14471,0.0,0.8,-,**,10.2,6.8,49814,31089,0.0,0.8,-,**,4.6,6.0,N,N,4.2,2.6,44417,15599,5.7,6.2,6111,10256,52.3,10.0,70837,14050,25.6,(X),(X),(X),35.3,(X),(X),(X),26.2,(X),(X),(X)
1400000US36047018200,36047018200,"Census Tract 182, Kings County, New York",1020,94,53409,7782,79.7,8.1,56533,9077,24.6,9.6,6578,5051,19.9,7.0,17001,2730,4.2,4.4,8933,4555,7.0,6.2,4330,2275,15.2,6.4,14192,5586,763,114,55709,9698,18.0,8.4,35018,6223,38.8,12.2,41497,12825,18.1,10.1,77190,24794,7.1,5.8,63293,8861,10.5,8.3,86451,43935,7.6,6.7,76534,26581,2771,404,20133,3131,52.5,10.7,24010,5002,0.0,1.3,-,**,0.0,1.3,-,**,44.4,10.6,16432,4048,0.0,1.3,-,**,2.6,4.1,N,N,0.5,0.8,N,N,18.2,10.4,13153,3409,36.9,10.2,28294,5849,30.4,(X),(X),(X),32.4,(X),(X),(X),23.0,(X),(X),(X)
1400000US36047018300,36047018300,"Census Tract 183, Kings County, New York",1165,124,109495,20056,89.1,6.5,109550,20005,41.0,8.9,14802,6180,8.1,4.3,18767,8060,1.9,3.0,8845,8,0.0,3.0,-,**,4.7,2.9,36295,22095,535,133,129037,38780,8.6,7.1,N,N,15.9,10.4,N,N,62.1,14.1,N,N,11.2,6.5,N,N,0.0,6.3,N,N,2.2,3.7,N,N,2423,362,53128,7273,64.2,7.1,49756,7747,22.0,7.0,51162,14641,0.0,1.4,-,**,4.5,2.9,73394,37069,0.0,1.4,-,**,5.6,3.7,59159,24823,3.8,3.1,89291,93554,10.6,7.1,53005,20867,59.3,9.4,48033,8058,38.1,(X),(X),(X),39.3,(X),(X),(X),26.3,(X),(X),(X)
1400000US36047018400,36047018400,"Census Tract 184, Kings County, New York",755,70,77208,31247,62.3,8.6,95441,47793,39.1,10.1,10640,3774,49.3,8.8,17397,3924,11.7,6.6,11081,3713,0.0,4.5,-,**,25.7,10.0,13485,3089,472,86,103619,51578,26.7,10.5,N,N,48.9,11.1,N,N,6.1,6.0,N,N,3.4,4.1,N,N,14.8,9.3,N,N,0.0,7.1,N,N,1765,235,33366,13559,64.9,8.5,42119,20701,0.0,2.0,-,**,0.0,2.0,-,**,32.3,8.2,17456,6778,0.0,2.0,-,**,2.8,4.4,N,N,0.0,2.0,-,**,5.0,4.9,23002,13197,62.7,8.5,42381,21526,37.0,(X),(X),(X),43.6,(X),(X),(X),28.5,(X),(X),(X)
1400000US36047018501,36047018501,"Census Tract 185.01, Kings County, New York",1182,141,28697,4729,53.0,8.7,37872,8190,3.8,4.1,353,267,33.1,6.8,9660,1515,26.5,7.4,9157,1502,14.5,8.1,2919,1049,12.4,6.6,13829,3616,689,138,31815,7460,38.5,12.4,14567,3827,36.3,12.6,30434,8284,8.3,6.8,103546,22904,12.9,8.2,35961,10888,0.0,4.9,-,**,4.1,4.1,48175,5090,2736,395,12837,2385,20.2,9.6,16299,10069,66.3,10.6,12227,2383,0.0,1.3,-,**,0.8,1.0,8733,1240,0.0,1.3,-,**,12.7,6.0,10755,2003,0.0,1.3,-,**,24.9,8.5,9785,1874,11.0,8.5,22609,18736,44.9,(X),(X),(X),52.5,(X),(X),(X),35.0,(X),(X),(X)
1400000US36047018600,36047018600,"Census Tract 186, Kings County, New York",692,78,74464,15224,66.6,11.4,93877,19959,25.9,9.6,7723,3682,41.2,12.8,14982,2035,8.5,6.4,10259,3807,2.7,3.3,2126,9,19.5,9.6,10813,5833,438,103,99443,22757,9.1,7.3,N,N,41.8,17.6,N,N,32.0,15.6,N,N,8.9,10.5,N,N,2.3,3.9,N,N,5.9,7.0,N,N,1660,263,31800,7201,58.8,11.7,32997,8494,0.0,2.1,-,**,0.0,2.1,-,**,29.4,11.5,33719,17181,0.0,2.1,-,**,11.8,11.9,21065,14995,0.0,2.1,-,**,16.9,13.4,21037,10502,53.7,12.0,34144,9123,39.6,(X),(X),(X),45.2,(X),(X),(X),32.7,(X),(X),(X)
1400000US36047018700,36047018700,"Census Tract 187, Kings County, New York",600,61,76677,16821,82.7,10.9,81232,19365,25.8,14.7,11643,8638,18.3,10.1,11338,1651,0.0,5.7,-,**,0.0,5.7,-,**,10.8,9.1,34625,27815,399,93,79056,23170,10.5,11.5,N,N,34.3,18.9,N,N,38.8,23.8,N,N,13.5,16.6,N,N,0.0,8.4,N,N,2.8,4.5,N,N,1707,394,27534,8832,46.5,19.7,35716,15185,16.6,9.9,31902,12997,0.0,2.0,-,**,2.2,3.3,57532,1388,0.0,2.0,-,**,20.8,18.7,16773,17841,13.8,14.4,6108,3949,34.7,14.6,15422,10074,32.6,10.3,45212,16817,43.7,(X),(X),(X),50.9,(X),(X),(X),27.1,(X),(X),(X)
1400000US36047018800,36047018800,"Census Tract 188, Kings County, New York",935,74,81249,10125,78.8,8.6,86880,13636,37.2,11.5,5297,2287,30.1,11.6,16247,3024,5.0,5.0,12100,4073,2.9,4.6,6978,8,14.9,6.8,27035,12407,737,97,85697,8971,20.9,9.4,N,N,27.0,12.6,N,N,32.4,11.4,N,N,7.9,7.5,N,N,10.4,6.9,N,N,1.4,2.1,N,N,2912,352,26930,3445,61.0,12.2,32745,3945,0.3,0.5,N,N,0.0,1.2,-,**,36.8,12.4,18040,4536,0.0,1.2,-,**,1.0,1.6,N,N,1.0,1.7,-,**,2.7,2.1,24163,22116,59.2,12.1,32587,3911,37.4,(X),(X),(X),29.7,(X),(X),(X),26.7,(X),(X),(X)
1400000US36047019000,36047019000,"Census Tract 190, Kings County, New York",1582,94,47395,6468,84.3,6.3,48010,6699,12.1,5.6,4160,1978,16.6,6.6,15308,2924,3.1,2.5,8343,2707,4.9,4.3,3412,2140,16.9,6.1,11089,4381,1193,157,50427,7463,14.2,7.4,17731,7974,45.3,9.8,48476,10206,17.8,7.5,64409,14933,14.2,6.8,72617,20356,5.3,4.1,44052,10035,3.2,4.5,56921,66341,4741,622,16310,2930,55.1,11.5,20468,3891,2.9,3.8,18055,9339,0.7,3.2,7186,5053,32.9,8.6,12139,4683,0.0,0.7,-,**,8.3,7.5,5429,1025,0.0,0.7,-,**,21.6,9.2,9053,3959,43.0,9.4,23366,4155,31.9,(X),(X),(X),36.0,(X),(X),(X),21.7,(X),(X),(X)
1400000US36047019100,36047019100,"Census Tract 191, Kings County, New York",950,112,66636,13422,78.2,11.4,73742,12479,15.7,8.7,19179,16436,12.5,6.8,14343,4722,3.6,3.6,4606,1504,0.9,2.0,5056,17,12.9,6.4,16220,4483,412,113,66435,18973,16.5,12.5,N,N,41.5,16.2,N,N,21.8,12.8,N,N,6.1,9.3,N,N,5.1,7.8,N,N,9.0,10.6,N,N,2279,411,28128,6836,32.3,9.6,41015,16549,35.6,11.2,25159,7052,0.0,1.5,-,**,1.8,2.9,607,68,0.0,1.5,-,**,25.1,12.3,20865,12602,5.2,3.8,13322,10278,32.6,11.2,19909,9462,26.4,8.1,46270,20102,37.5,(X),(X),(X),43.9,(X),(X),(X),28.3,(X),(X),(X)
1400000US36047019200,36047019200,"Census Tract 192, Kings County, New York",721,76,46327,8158,79.5,10.0,52305,9366,16.2,8.1,7561,2299,13.7,8.1,13007,1134,10.5,8.3,9550,2320,12.3,10.2,2873,1697,4.4,5.2,3391,3117,559,103,46415,10755,22.2,13.2,N,N,27.7,12.5,N,N,29.5,12.6,N,N,9.7,9.3,N,N,3.8,5.1,N,N,7.2,8.5,N,N,2237,393,15440,2838,60.5,12.4,19052,4515,3.8,4.4,N,N,0.0,1.6,-,**,25.9,13.1,10288,1881,0.0,1.6,-,**,9.7,12.9,7294,1911,0.0,1.6,-,**,18.9,17.5,9261,6488,51.4,13.7,20417,4805,26.8,(X),(X),(X),29.0,(X),(X),(X),17.2,(X),(X),(X)
1400000US36047019300,36047019300,"Census Tract 193, Kings County, New York",2187,137,54002,6517,66.3,6.5,58907,8649,14.1,4.9,5609,2088,34.7,5.5,15533,1558,4.1,3.3,11241,4557,2.8,2.6,2010,1121,22.9,4.7,33271,12871,938,175,65514,11077,19.9,8.7,N,N,36.5,12.8,N,N,30.4,11.2,N,N,8.2,5.7,N,N,1.3,2.2,N,N,3.7,5.6,N,N,6218,684,21244,3366,45.2,6.6,15171,6187,40.8,5.8,32580,5846,0.2,0.3,N,N,6.4,3.7,6150,6823,0.0,0.6,-,**,3.6,1.8,8818,5199,3.8,3.2,9679,7994,17.1,6.6,14316,6721,35.8,8.0,14665,7205,43.7,(X),(X),(X),52.2,(X),(X),(X),37.5,(X),(X),(X)
1400000US36047019400,36047019400,"Census Tract 194, Kings County, New York",1130,66,52666,7846,85.0,7.2,49349,8298,14.0,6.1,14859,16049,35.6,10.5,14456,4202,2.2,2.5,7032,1502,4.2,3.8,4126,1786,10.3,5.7,21400,11136,846,136,55985,9535,6.0,6.1,11837,20018,35.1,12.4,55330,19652,31.7,11.2,39890,12421,9.1,7.5,97749,41427,9.8,8.3,81251,44654,8.3,6.1,76643,51977,3869,460,16232,2565,30.8,10.1,29001,5104,1.0,0.9,44703,9453,0.0,0.9,-,**,61.9,10.7,10370,1783,0.0,0.9,-,**,5.5,3.7,6012,1708,0.8,0.8,N,N,8.6,6.3,12610,6252,27.7,9.1,29526,5452,35.5,(X),(X),(X),24.9,(X),(X),(X),19.1,(X),(X),(X)
1400000US36047019500,36047019500,"Census Tract 195, Kings County, New York",1822,131,73209,10844,77.8,7.5,78796,12797,23.2,6.6,10294,9018,17.6,5.8,16338,2771,4.7,3.3,10522,4837,0.7,1.1,325,6,14.4,5.9,26380,12346,702,153,83486,20495,13.2,9.7,N,N,31.8,13.9,N,N,39.0,12.1,N,N,10.0,7.6,N,N,4.6,3.8,N,N,1.4,2.6,N,N,3733,431,36871,5295,36.4,6.1,36870,8884,43.9,6.7,35867,7173,0.0,0.9,-,**,5.3,2.5,53093,18902,0.0,0.9,-,**,9.4,3.4,40668,32083,5.1,3.5,21882,23774,19.0,5.2,28366,16913,30.9,5.6,40753,10724,33.2,(X),(X),(X),42.7,(X),(X),(X),30.1,(X),(X),(X)
1400000US36047019600,36047019600,"Census Tract 196, Kings County, New York",1478,95,51811,6899,77.3,7.2,57481,7972,16.8,6.2,6674,3325,25.4,7.7,13882,2820,6.1,4.2,11357,3727,6.2,4.9,4520,1395,10.2,5.8,10109,2734,1079,144,48300,7941,24.9,9.0,N,N,35.8,11.3,N,N,17.9,8.8,N,N,11.4,7.2,N,N,1.9,2.2,N,N,8.1,6.2,N,N,4622,509,17206,2849,46.9,10.2,20531,3463,2.8,2.6,27784,12325,0.0,0.8,-,**,31.7,8.9,9603,2960,0.0,0.8,-,**,17.9,9.6,18249,6760,0.7,0.9,N,N,32.9,10.4,20356,4206,33.7,7.9,19980,4343,40.9,(X),(X),(X),37.3,(X),(X),(X),31.6,(X),(X),(X)
1400000US36047019700,36047019700,"Census Tract 197, Kings County, New York",1675,117,100968,18365,77.1,6.5,116060,19636,25.0,7.1,15269,14369,23.8,6.6,13470,3251,2.4,1.8,13668,5156,2.1,2.5,2363,1102,13.1,5.1,21323,8878,574,126,125100,25340,9.1,7.9,52008,38191,30.5,13.6,61001,12921,45.6,14.4,167858,32669,4.7,4.2,244693,119117,10.1,9.1,135217,50131,0.0,5.9,-,**,3271,348,52333,8373,35.8,6.1,67490,21265,42.0,6.3,50158,9048,0.0,1.1,-,**,8.2,4.8,39827,19818,0.0,1.1,-,**,5.2,3.5,37383,10915,8.8,2.9,21566,14758,10.4,4.8,24551,6528,32.8,5.7,71154,23071,31.0,(X),(X),(X),34.5,(X),(X),(X),25.8,(X),(X),(X)
1400000US36047019800,36047019800,"Census Tract 198, Kings County, New York",720,52,47888,14420,77.8,9.7,49233,18583,24.6,11.6,7557,5098,20.3,8.6,17493,4407,5.8,9.4,8843,27856,0.0,4.7,-,**,10.8,9.0,9474,9134,449,140,55622,14668,17.8,16.5,N,N,43.0,22.8,N,N,14.3,11.9,N,N,23.4,17.6,N,N,1.6,2.7,N,N,0.0,7.5,N,N,1778,339,19704,4630,82.7,15.9,23542,5137,0.0,1.9,-,**,0.0,1.9,-,**,17.3,15.9,1311,341,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,17.1,12.9,14296,10436,65.6,19.3,25951,5598,36.4,(X),(X),(X),36.1,(X),(X),(X),21.7,(X),(X),(X)
1400000US36047019900,36047019900,"Census Tract 199, Kings County, New York",1424,117,75012,11317,79.2,6.8,85684,12666,18.0,6.0,4414,3391,17.9,5.9,14323,3388,4.8,3.1,7522,1177,0.6,1.0,122,26,13.3,5.3,15247,4943,570,126,97457,20579,8.2,7.1,33832,9394,36.5,13.9,67940,32249,27.9,14.3,145326,22077,16.1,9.2,87195,20089,11.2,9.4,135938,56013,0.0,6.0,-,**,3141,410,35006,6465,32.5,10.4,42380,8334,47.1,9.1,30567,3882,0.0,1.1,-,**,14.3,10.5,20892,25564,0.0,1.1,-,**,3.4,2.6,63708,55521,2.7,2.4,62720,28858,7.7,4.0,40586,22899,31.6,10.4,42817,8700,18.7,(X),(X),(X),27.5,(X),(X),(X),14.5,(X),(X),(X)
1400000US36047020000,36047020000,"Census Tract 200, Kings County, New York",751,72,60573,8486,78.0,11.0,61487,9030,20.5,8.3,10231,6742,31.4,11.5,16236,4092,5.7,4.4,7067,972,2.4,2.7,3339,2125,18.8,9.1,19414,9674,547,87,59235,10331,22.7,13.4,30028,10488,28.7,11.7,35824,6722,23.8,13.8,108652,42329,17.6,9.8,61026,24642,7.3,6.3,76760,41434,0.0,6.2,-,**,2284,347,20072,3174,59.2,13.2,23902,4186,0.9,1.4,N,N,0.0,1.5,-,**,24.3,12.0,14703,7708,0.0,1.5,-,**,14.4,12.3,16055,2891,1.2,1.9,N,N,23.7,12.6,14546,3626,51.1,12.7,25452,4278,43.0,(X),(X),(X),35.8,(X),(X),(X),28.8,(X),(X),(X)
1400000US36047020100,36047020100,"Census Tract 201, Kings County, New York",1660,138,81730,7962,93.7,3.7,78452,7676,24.5,7.7,10265,5071,14.3,4.9,17971,4693,0.5,0.9,7756,19,2.8,2.4,4370,4482,8.9,4.3,23162,6958,580,143,98941,11721,6.9,8.1,N,N,24.3,12.7,N,N,46.7,14.4,N,N,15.2,8.9,N,N,1.4,2.4,N,N,5.5,4.9,N,N,3228,433,42411,4949,33.2,7.5,57765,7590,56.5,7.7,32554,5319,0.0,1.1,-,**,5.4,3.1,59384,23338,0.0,1.1,-,**,1.2,1.0,37384,22779,3.8,2.3,32275,21378,6.1,3.2,34257,8917,30.3,6.8,60223,7724,32.2,(X),(X),(X),53.4,(X),(X),(X),28.8,(X),(X),(X)
1400000US36047020200,36047020200,"Census Tract 202, Kings County, New York",654,72,113021,24787,80.9,8.2,120895,29222,46.8,12.8,5131,2301,32.0,8.9,19565,4490,1.7,2.6,3673,10,4.9,7.1,4841,7,23.9,9.0,21814,7071,560,89,95834,12803,16.3,9.3,N,N,17.3,11.5,N,N,39.5,11.9,N,N,11.8,7.4,N,N,13.6,10.8,N,N,1.6,2.5,N,N,2055,298,36847,8681,73.8,13.7,44232,11605,0.0,1.7,-,**,0.0,1.7,-,**,24.7,13.9,16032,6619,0.0,1.7,-,**,1.5,2.4,N,N,0.0,1.7,-,**,6.1,5.6,79116,139334,69.2,13.4,40523,8490,33.9,(X),(X),(X),32.9,(X),(X),(X),19.6,(X),(X),(X)
1400000US36047020300,36047020300,"Census Tract 203, Kings County, New York",710,76,67068,16362,76.8,9.6,78318,18638,16.2,8.4,10990,8036,17.9,7.1,9696,1819,2.8,4.2,7245,9378,5.8,5.8,5110,1694,15.5,10.0,12295,10368,192,71,78337,41842,10.9,15.8,N,N,55.7,27.8,N,N,12.0,15.2,N,N,12.0,14.7,N,N,9.4,13.4,N,N,0.0,16.6,N,N,1610,262,29921,6584,41.9,11.2,29525,10219,23.2,12.3,32234,16330,0.0,2.1,-,**,10.7,7.8,27749,13492,0.0,2.1,-,**,21.6,12.8,29612,16744,2.6,2.9,N,N,25.9,12.8,31213,13373,38.7,11.3,28995,10972,21.1,(X),(X),(X),23.4,(X),(X),(X),14.3,(X),(X),(X)
